Model,Accuracy,AUC,Precision,Recall,F1,MCC
LogisticRegression,0.9767441860465116,0.9942129629629629,0.9814814814814815,0.9814814814814815,0.9814814814814815,0.9502314814814815
DecisionTree,0.9418604651162791,0.947337962962963,0.9803921568627451,0.9259259259259259,0.9523809523809523,0.8802752884541375
KNN,0.9651162790697675,0.9930555555555556,0.9636363636363636,0.9814814814814815,0.9724770642201835,0.9251591263913552
GaussianNB,0.9418604651162791,0.9872685185185185,0.9622641509433962,0.9444444444444444,0.9532710280373832,0.8766337629453995
RandomForest,0.9418604651162791,0.9924768518518519,0.9622641509433962,0.9444444444444444,0.9532710280373832,0.8766337629453995
XGBoost,0.9767441860465116,0.9942129629629629,0.9642857142857143,1.0,0.9818181818181818,0.9507985365695811
